# id           ra             dec              redshift   g_prime_delve           g_prime_err_delve       r_prime_delve           r_prime_err_delve       i_prime_delve          i_prime_err_delve       z_prime_delve         z_prime_err_delve       vista.vircam.Y_vhs    vista.vircam.Y_err_vhs   vista.vircam.J_vhs    vista.vircam.J_err_vhs   vista.vircam.H_vhs    vista.vircam.H_err_vhs   vista.vircam.Ks_vhs   vista.vircam.Ks_err_vhs   WISE1                 WISE1_err               WISE2                 WISE2_err             
  J0000+0051   0.091530555    0.8581032153     -1.0       0.004849891245011426    2.137441964081251E-4    0.02218006425737855     0.0010541938016165597   0.12425068737508962    0.006481740531791583    0.26916463610212216   0.014684197783121633    ""                    ""                       0.49328419416366637   0.005854929665027209     0.5318877645454391    0.011187737779578266     0.45757764625967334   0.009924954781214357      0.24547111988067627   0.008661031723022461    0.16247975826263428   0.011957928538322449  
  J0018-0037   4.504515537    -0.6262768757    -1.0       0.009012979847286209    4.093567701694816E-4    0.0472560698730402      0.002337241062454573    0.34843646577625204    0.019303932136107926    0.8778073238639673    0.0514930861554036      ""                    ""                       1.7868249169501658    0.00786075135565012      1.951366297868604     0.009246569103482205     1.7521302998236918    0.013602658661035605      1.002767562866211     0.023727595806121826    0.6619114279747009    0.020997166633605957  
  J0018+0013   4.538693158    0.2204538422     -1.0       0.007404743173058504    3.3308509903442075E-4   0.03666300009972023     0.0017889394834003994   0.26234838798817994    0.01429063265519498     0.6331461931759035    0.03638408419561112     ""                    ""                       1.241204095726917     0.008773702514636383     1.261291880521196     0.008788807741693994     1.1521769960229098    0.010149921595665301      0.6516286730766296    0.01717466115951538     0.4504014849662781    0.016292214393615723  
  J0019+0017   4.754260485    0.2960917105     -1.0       0.004627623309889502    2.03491676384524E-4     0.026462251944673477    0.001269281881905799    0.22521183023864838    0.012158005942316447    0.6522859138339993    0.03755372076544239     ""                    ""                       1.5632325879677906    0.008879787465390532     1.718297665272089     0.008916950270790203     1.6717325553450417    0.010787752692576591      0.9523583054542542    0.02253478765487671     0.6120677590370178    0.01886981725692749   
  J0019-1004   4.930803497    -10.08196984     -1.0       0.0026324201107775554   1.1272048144317457E-4   0.014447875813042082    6.718330407144459E-4    0.13491119837187043    0.007070822937269405    0.34336561319076175   0.019006242627094327    0.5100876397503386    0.005644755718508754     0.7341973286392958    0.007413592777813949     ""                    ""                       0.6530156656583668    0.015838798884102556      0.38832923769950867   0.01197245717048645     0.2696497440338135    0.013791143894195557  
  J0020-0924   5.223207023    -9.402828137     -1.0       0.0035282650279423325   1.53166107809606E-4     0.016224226473520467    7.58876260419053E-4     0.09407815679520619    0.004831631069798378    0.21141256723788654   0.011370923584161141    0.2917840848984941    0.0054480544016400345    0.4084833884187608    0.008890270394342648     ""                    ""                       0.35373399585678056   0.016300959425577022      0.17766441404819489   0.007213115692138672    0.12835119664669037   0.011616550385951996  
  J0021-0922   5.269434678    -9.375044196     -1.0       0.00924670068975086     4.205028274208208E-4    0.04361621751542624     0.0021479738809972795   0.27672857072049467    0.015121663309009215    0.6173638562626098    0.03542137099871545     0.8813410528048614    0.0057978112434525775    1.2087430778243005    0.007307744717337528     ""                    ""                       1.1084650389653044    0.015583222912007422      0.6480369567871094    0.016498446464538574    0.4325140416622162    0.016411572694778442  
  J0022+0048   5.537528579    0.8073547769     -1.0       0.0034798329815448827   1.5096527936993807E-4   0.01730426670016484     8.120517193878143E-4    0.11025787041332132    0.0057131282662808425   0.2448567044584935    0.013283630425745652    ""                    ""                       0.44957856834482224   0.008994082922668956     0.4818781118824621    0.010300476989997032     0.42073166596068723   0.011407674907446264      0.23099379241466522   0.008764982223510742    0.17362000048160553   0.013221874833106995  
  J0022-0935   5.544483641    -9.596837996     -1.0       0.003863267672901085    1.6842895463975698E-4   0.01783626844164269     8.383105858971868E-4    0.1349384135759677     0.007072330471106003    0.32636321296495313   0.018010156662159715    0.4559407402496914    0.0056340493422555316    0.6489021304205821    0.008488745923567964     ""                    ""                       0.6247743624404073    0.017067136996564924      0.34705641865730286   0.0110093355178833      0.20081688463687897   0.012191757559776306  
  J0022+0000   5.61099229     0.006279970084   -1.0       0.0032949528172044806   1.425780574250148E-4    0.020526022470255652    9.716935572316732E-4    0.24942317315046456    0.013546104150270633    0.7914691654275539    0.04612432633360575     ""                    ""                       2.0628269658951175    0.010362721937156483     2.189505295970827     0.011795523617676551     2.0796986025760087    0.012232489280395775      1.212272047996521     0.02759528160095215     0.8340649008750916    0.02571481466293335   
  J0023-0853   5.841243215    -8.887615501     -1.0       0.005082811454891665    2.245133162509065E-4    0.024709730002913488    0.0011810071159478915   0.15602047652148335    0.00824537335628453     0.34595530929004237   0.019158238712596587    0.4826972226764006    0.005622067752166338     0.6456179552128573    0.008028978394228115     ""                    ""                       0.6039714363540164    0.016365195096432972      0.354486882686615     0.010612457990646362    0.23035632073879242   0.01258540153503418   
