ra,dec,mag_auto_z,magerr_auto_z
358.9302557232842,-49.6491344722842,20.941353,0.132847
348.64666703420744,-18.515554712267985,20.909893,0.083487
359.79819800165444,-1.0403539980661662,20.801477,0.089706
352.8813492623127,-71.69503764350287,20.64215,0.030043
349.791911023145,-54.970891212302405,20.981276,0.12772
355.43490895324953,-24.938258682329973,20.998116,0.107456
354.80709326431025,-81.51843205065649,20.912401,0.078722
353.13734634522217,-47.56867466108574,19.910263,0.02956
348.4206510466623,-42.30329523723046,20.686195,0.051827
357.3214052566039,-4.779823143257929,20.690622,0.082526
346.62491479537215,0.3947319995224206,20.579868,2.46874
347.53155353474807,-27.96390663802478,20.7782,0.101044
350.1710719459399,-28.001136169610533,20.781393,0.100475
345.4873806857266,-30.305263070024225,20.799225,0.114127
348.85074270064376,-21.05029504099781,20.406208,0.070693
347.7157804289607,-17.814101154916514,20.685951,0.065964
351.27746650000006,-56.826640500000025,20.232916,0.048767
359.3437810686547,-7.5261082752862904,19.501148,0.019407
357.0299517031687,-55.85574745037013,20.706203,0.20212
359.100468239632,-55.632034383134595,20.55701,0.079769
346.50784693792093,-50.79988200834268,20.994694,0.092652
351.1601579790854,-20.332498190807485,18.647076,0.008754
348.0676009133449,-73.05975187210893,20.520805,0.061867
352.6923930288957,-30.36457531754776,20.632755,0.09656
350.73479360724434,-31.32161392753595,20.941664,0.122609
347.85440021444896,-32.35366137392546,20.988733,0.096069
2.235732533158206,-28.22271313027126,19.466582,0.015595
353.50952322081207,-11.130779609626586,20.865317,0.062355
337.8748053753813,-4.3135102515041694,19.904476,0.028833
344.2468385726928,-4.173116222393844,20.946887,0.072096
31.581861243038613,-77.55867340985932,20.398015,0.025949
21.085818458993085,-70.12115624763709,20.912531,0.09447
27.75429480495829,-70.30232200066985,20.947775,0.090214
36.21504772430835,-28.48253618717408,20.394699,0.052643
353.9718512783717,-69.95753993732745,20.775527,0.065811
353.01882246437214,-70.15702145494126,20.225919,0.02322
324.4244527353414,-70.33861695154852,20.473283,0.062897
321.23323765244066,-50.79758296694754,20.787298,0.049905
356.90299842360906,-64.51884821902917,20.732923,0.048729
331.4314730415707,-47.28893154832724,19.725939,0.024421
335.74065166042504,-31.444296015888867,20.755716,0.076079
