ra_decals,dec_decals,ls_id,mag_g,snr_g,mag_r,snr_r,mag_i,snr_i,mag_z,snr_z,query_name
344.2432409561357,15.04919382178169,10995553759396342,,-1.3677808,21.79436,43.24571,inf,0.0,19.957653,103.58228,J225658.38+150257.1
345.4693951406845,16.93303322352724,10995565382863059,26.508871,1.1403753,22.428389,26.294271,inf,0.0,21.143255,39.857784,J230152.65+165558.9
346.0374826198886,10.45696100707402,10995527247200315,26.700426,0.90743554,22.426006,22.063679,inf,0.0,20.330778,77.18741,J230409.00+102725.0
346.5977634092221,-11.59639029759378,10995395084683845,23.980349,10.426864,21.077276,84.03006,19.701666,187.10442,19.555817,167.11337,J230623.46-113547.0
347.6613537242637,3.60388502555874,10995485286338010,25.171572,3.8203688,21.629932,53.1316,inf,0.0,20.569532,66.84433,J231038.72+033613.9
347.8578020657203,-5.419357609856545,10995430960663840,27.34076,0.41806558,22.304516,20.114025,20.518166,92.46825,20.302536,81.25593,J231125.87-052509.7
347.9744623750856,15.77261477028024,10995558146641088,25.240658,2.7618551,22.291666,24.161264,inf,0.0,20.684055,36.03807,J231153.87+154621.4
348.0667957284722,31.24012896752645,10995643806909033,28.628521,0.18592003,23.305536,15.867239,inf,0.0,21.40508,25.974295,J231216.03+311424.4
349.1164868304387,21.62720971247324,10995592481212574,27.282682,0.6689478,22.913961,20.65373,inf,0.0,20.710865,62.900986,J231627.96+213737.9
349.1271246881344,-1.407897612147777,10995455097837016,,-0.5418739,22.75065,66.94476,20.94152,152.86954,20.779598,92.76444,J231630.51-012428.4
350.8835967681592,2.646785348620809,10995480774315092,,-0.07647559,22.965605,19.294832,21.05346,46.819492,21.001741,41.15604,J232332.06+023848.4
352.2976773191772,2.289072550369166,10995477760705897,25.060472,6.2147036,22.036459,57.285507,inf,0.0,20.275509,104.15756,J232911.44+021720.6
353.4778367671145,-6.089729733202425,10995427977461883,26.25938,1.220257,22.864996,18.44675,21.312132,44.088646,21.035679,41.506344,J233354.68-060522.9
353.5417683892258,-8.283976488861862,10995414475998907,,-0.28651312,23.378447,8.585889,21.33479,44.4683,20.873913,39.82613,J233410.03-081702.3
353.5797923398551,-6.44062586948034,10995424972245005,28.5775,0.15010664,23.168484,12.227468,21.40635,17.499111,21.208807,26.945787,J233419.15-062626.2
353.735933628568,-10.897663956828,10995398081513222,,-0.22653283,22.540085,21.950293,20.781782,57.04886,20.603897,57.964626,J233456.62-105351.5
353.7804746317009,9.45705346361604,10995521326942498,,-1.8326617,23.36529,14.118059,inf,0.0,21.358185,33.48497,J233507.31+092725.3
355.5703271149433,5.149107349018505,10995495866467825,,-0.681891,26.11372,0.9902195,inf,0.0,21.234598,43.62252,J234216.88+050856.7
359.4604596864305,-11.7123750708122,10995393656526498,23.733803,15.463011,21.21292,78.66534,19.616161,279.07886,19.680206,165.2174,J235750.51-114244.5
359.6642744448859,12.78577859322033,10995540621790333,26.827162,0.91188127,22.600515,21.609245,inf,0.0,20.985394,44.961647,J235839.43+124708.8
