# ls_id        ra_1        dec_1        
  J0222-0904   35.565932   -9.07054     
  J0222+0003   35.590287   0.05537      
  J0222-0002   35.612046   -0.04894     
  J0222-0037   35.715691   -0.63197     
  J0223-0903   35.871817   -9.06326     
  J0223+0058   35.956239   0.96582      
  J0223-0915   35.95992    -9.25168     
  J0223+0048   35.986936   0.81634      
  J0223+0006   35.991387   0.10622      
  J0224-0809   36.147837   -8.1512      
  J0224+0020   36.158899   0.34194      
  J0224-0043   36.248116   -0.7169      
  J0226-0748   36.626352   -7.80266     
  J0227-0054   36.849005   -0.92184     
  J0227-0026   36.876872   -0.44573     
  J0227+0026   36.978847   0.4389       
  J0228-0753   37.029657   -7.88757     
  J0228-0055   37.043635   -0.93136     
  J0228+0040   37.065215   0.67407      
  J0228+0059   37.067998   0.99139      
  J0229-0909   37.302652   -9.15088     
  J0229-0800   37.471276   -8.00875     
  J0230+0022   37.726843   0.38054      
  J0231-0044   37.909526   -0.7474      
  J0231+0022   37.916912   0.37644      
  J0231-0045   37.949898   -0.76228     
  J0232-0903   38.018854   -9.06086     
  J0232-0745   38.037989   -7.76544     
  J0232-0831   38.048391   -8.52427     
  J0232+0019   38.09625    0.32638      
  J0232+0033   38.229471   0.5629       
  J0233-0855   38.275806   -8.92322     
  J0233-0013   38.293604   -0.2265      
  J0233-0023   38.296067   -0.39187     
  J0233-0744   38.476325   -7.73835     
  J0234+0006   38.508456   0.10659      
  J0234+0027   38.566882   0.45387      
  J0234-0934   38.568721   -9.58195     
  J0234-0102   38.619679   -1.0469      
  J0235+0002   38.821765   0.04726      
  J0235-0817   38.82263    -8.29778     
  J0235-0733   38.938517   -7.5518      
  J0236-0917   39.002622   -9.29125     
  J0236+0046   39.078663   0.76845      
  J0238-0723   39.551307   -7.39289     
  J0238-0838   39.670355   -8.63714     
  J0239-0724   39.785064   -7.40816     
  J0239-0753   39.811777   -7.89815     
  J0239-0822   39.812825   -8.38229     
  J0239-0800   39.928532   -8.01115     
  J0239+0104   39.978381   1.0704       
  J0240-0107   40.112606   -1.13223     
  J0240-0730   40.113687   -7.50482     
  J0240+0009   40.23096    0.15979      
  J0241-0708   40.260658   -7.13422     
  J0241-0854   40.366046   -8.91635     
  J0241-0017   40.410573   -0.29734     
  J0242-0857   40.538513   -8.95315     
  J0243+0011   40.82965    0.20481      
  J0243-0735   40.862926   -7.58407     
  J0244-0651   41.011686   -6.86577     
  J0244-0802   41.037467   -8.04084     
  J0244+0058   41.064306   0.97259      
  J0244-0717   41.096129   -7.29843     
  J0244-0755   41.175814   -7.9179      
  J0246-0735   41.700443   -7.59404     
  J0246-0007   41.743252   -0.13436     
  J0247-0010   41.867526   -0.17203     
  J0247+0101   41.963791   1.02032      
  J0247-0708   41.980296   -7.14471     
  J0248-0045   42.008038   -0.7613      
  J0248-0858   42.078448   -8.98301     
  J0249+0057   42.278008   0.96631      
  J0249-0020   42.373501   -0.34501     
  J0249-0034   42.493156   -0.56944     
  J0250+0107   42.51609    1.12412      
  J0250+0039   42.571762   0.65567      
  J0250+0046   42.603939   0.78247      
  J0250+0029   42.678906   0.48632      
  J0250-0043   42.708065   -0.73193     
  J0250-0716   42.714636   -7.28325     
  J0251+0044   42.752954   0.74649      
  J0251-0837   42.883082   -8.63286     
  J0251-0029   42.916049   -0.48525     
  J0252+0039   43.0006     0.66016      
  J0252-0734   43.034857   -7.57193     
  J0252-0841   43.069661   -8.69308     
  J0252+0051   43.110199   0.86701      
  J0253+0115   43.268812   1.26122      
  J0253-0821   43.273411   -8.35686     
  J0253-0736   43.278256   -7.6155      
  J0253-0105   43.289065   -1.09632     
  J0253-0653   43.467574   -6.88415     
  J0254+0109   43.490776   1.15955      
  J0254-1934   43.52425    -19.581194   
  J0254+0018   43.607502   0.31409      
  J0254-0032   43.712492   -0.54283     
  J0254+0036   43.721262   0.60787      
  J0254-0046   43.737846   -0.77961     
  J0255+0050   43.983091   0.84924      
  J0256-0038   44.004129   -0.64628     
  J0256-0713   44.055381   -7.22813     
  J0256-0053   44.059262   -0.88449     
  J0256-0030   44.10396    -0.50343     
  J0256-0727   44.10996    -7.45849     
  J0256+0107   44.189364   1.11972      
  J0256+0023   44.236264   0.39909      
  J0257-0806   44.276116   -8.11262     
  J0257-0851   44.354186   -8.8502      
  J0257-0748   44.356443   -7.81244     
  J0257-0114   44.357758   -1.24084     
  J0257-0831   44.357815   -8.52806     
  J0257-0035   44.439178   -0.58943     
  J0257+0034   44.473591   0.57023      
  J0258-0722   44.504031   -7.37986     
  J0258-0821   44.597717   -8.36541     
  J0259-0651   44.799985   -6.8568      
  J0259+0047   44.930263   0.78479      
  J0300+0001   45.126575   0.02981      
